P -250.0000, -250.0000, 0.0000,  128, 0, 255,  2,  To2nd
P 0.0000, 450.0000, 0.0000,  128, 0, 255,  3,  To2nd
P -600.0000, -50.0000, -200.0000,  128, 0, 255,  2,  1st
P -600.0000, -50.0000, 0.0000,  128, 0, 255,  2,  Basement
P -450.0000, 150.0000, 250.0000,  255, 0, 0,  2,  ArchLich
P -250.0000, -250.0000, 250.0000,  255, 0, 0,  2,  Creator
P -125.0000, -375.0000, 250.0000,  255, 0, 0,  2,  HightPriest
P -800.0000, 200.0000, 0.0000,  255, 0, 0,  2,  Mezhkazh
P -550.0000, 375.0000, 0.0000,  255, 0, 0,  2,  Rhag`Zhezum
P -625.0000, -220.0000, 250.0000,  128, 0, 255,  2,  2nd
P -100.0000, 200.0000, 250.0000,  128, 0, 255,  2,  2nd
P -250.0000, 250.0000, 0.0000,  255, 0, 0,  2,  Assassin
P -100.0000, 20.0000, 150.0000,  255, 128, 0,  2,  ZherozshKey
P -520.0000, -250.0000, 150.0000,  255, 128, 0,  2,  ZazuzhKey
P -625.0000, 260.0000, 150.0000,  255, 0, 0,  2,  Rhag`Mozdezh
P -625.0000, -220.0000, 150.0000,  128, 0, 255,  2,  3rd
P -100.0000, 200.0000, 150.0000,  128, 0, 255,  2,  3rd
P -250.0000, -250.0000, 150.0000,  128, 0, 255,  2,  1st
P 0.0000, 450.0000, 150.0000,  128, 0, 255,  2,  1st
P 16.0000, 45.0000, 0.0000,  255, 255, 0,  2,  Commonlands
P 213.7426, 88.1937, -195.9980,  0, 0, 0,  2,  Rhozth_Ssravich
P 281.0768, 994.5435, -259.9979,  0, 0, 0,  2,  Kalin_Nathsar
P -18.0900, 1171.2809, -259.9979,  0, 0, 0,  2,  clati_soriz
P 290.0435, 538.2910, -259.9979,  0, 0, 0,  2,  forge
P 213.1949, -68.2142, -195.9979,  0, 0, 0,  2,  Rhozth_Ssrakezh
