P -300.0000, -1400.0000, 0.0000,  0, 0, 0,  2,  Everfrost
P -100.0000, 1300.0000, 0.0000,  0, 0, 0,  2,  South_Karana
P 919.0000, 1319.0000, 0.0000,  255, 255, 255,  2,  South_Karana
P -290.0000, -1375.0000, 0.0000,  255, 255, 255,  2,  Succor_Point
P -500.0000, -1411.0000, 0.0000,  1, 1, 1,  2,  500
P -1000.0000, -1411.0000, 0.0000,  1, 1, 1,  2,  1000
P -1500.0000, -1411.0000, 0.0000,  1, 1, 1,  2,  1500
P -2000.0000, -1411.0000, 0.0000,  1, 1, 1,  2,  2000
P 500.0000, -1411.0000, 0.0000,  1, 1, 1,  2,  -500
P 1000.0000, -1411.0000, 0.0000,  1, 1, 1,  2,  -1000
P -2254.0000, -510.0000, 0.0000,  1, 1, 1,  2,  500
P -2254.0000, -1010.0000, 0.0000,  1, 1, 1,  2,  1000
P -2254.0000, 490.0000, 0.0000,  1, 1, 1,  2,  -500
P -2254.0000, 990.0000, 0.0000,  1, 1, 1,  2,  -1000

